"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASIANPAINT","EQ","23-Aug-2021","       3112.95","       3159.05","       3163.85","       3051.00","       3077.00","       3077.45","       3110.84","    1578949","          4911860565.90","      90422","     708621","         44.88"
"ASIANPAINT","EQ","24-Aug-2021","       3077.45","       3092.80","       3092.80","       3034.55","       3045.10","       3045.95","       3046.35","     763704","          2326511025.60","      65080","     412587","         54.02"
"ASIANPAINT","EQ","25-Aug-2021","       3045.95","       3026.00","       3070.00","       3012.60","       3043.00","       3038.05","       3039.16","     797870","          2424855943.60","      61276","     328723","         41.20"
"ASIANPAINT","EQ","26-Aug-2021","       3038.05","       3064.00","       3084.50","       3026.20","       3040.65","       3039.65","       3051.66","    1319516","          4026716033.75","      71022","     654672","         49.61"
"ASIANPAINT","EQ","27-Aug-2021","       3039.65","       3040.45","       3057.95","       3020.50","       3039.00","       3036.80","       3036.81","     634375","          1926474160.90","      64440","     353878","         55.78"
"ASIANPAINT","EQ","30-Aug-2021","       3036.80","       3056.70","       3114.25","       3048.05","       3106.65","       3108.75","       3091.61","    1051747","          3251591995.40","      61676","     523606","         49.78"
"ASIANPAINT","EQ","31-Aug-2021","       3108.75","       3108.75","       3210.00","       3103.05","       3200.00","       3201.35","       3171.10","    2283290","          7240542612.75","     102527","    1262306","         55.28"
"ASIANPAINT","EQ","01-Sep-2021","       3201.35","       3230.05","       3333.00","       3215.00","       3300.50","       3302.75","       3297.65","    2423168","          7990748247.40","     148506","     615326","         25.39"
"ASIANPAINT","EQ","02-Sep-2021","       3302.75","       3312.95","       3319.00","       3266.65","       3299.15","       3301.60","       3296.40","     847517","          2793758705.40","      83014","     358744","         42.33"
"ASIANPAINT","EQ","03-Sep-2021","       3301.60","       3301.60","       3344.95","       3286.50","       3333.15","       3338.80","       3321.73","     832039","          2763808801.75","      70082","     405393","         48.72"
"ASIANPAINT","EQ","06-Sep-2021","       3338.80","       3342.00","       3347.70","       3305.90","       3320.00","       3315.55","       3319.96","     664394","          2205761264.15","      68461","     331753","         49.93"
"ASIANPAINT","EQ","07-Sep-2021","       3315.55","       3333.50","       3394.60","       3323.85","       3333.00","       3336.25","       3351.67","    1285818","          4309638008.15","      89326","     418838","         32.57"
"ASIANPAINT","EQ","08-Sep-2021","       3336.25","       3345.00","       3361.55","       3297.00","       3335.80","       3336.60","       3323.57","     702598","          2335135575.70","      74948","     330074","         46.98"
"ASIANPAINT","EQ","09-Sep-2021","       3336.60","       3305.00","       3359.00","       3305.00","       3343.00","       3346.35","       3336.70","     591745","          1974477842.15","      41391","     314959","         53.23"
"ASIANPAINT","EQ","13-Sep-2021","       3346.35","       3346.60","       3374.00","       3330.35","       3366.00","       3367.05","       3355.88","     610920","          2050174696.75","      50829","     303236","         49.64"
"ASIANPAINT","EQ","14-Sep-2021","       3367.05","       3384.90","       3388.60","       3356.85","       3362.50","       3362.50","       3368.62","     569412","          1918134162.25","      56577","     347892","         61.10"
"ASIANPAINT","EQ","15-Sep-2021","       3362.50","       3361.85","       3383.95","       3346.95","       3350.00","       3352.30","       3364.75","     587855","          1977987464.80","      53905","     354905","         60.37"
"ASIANPAINT","EQ","16-Sep-2021","       3352.30","       3350.00","       3371.00","       3335.00","       3339.50","       3342.10","       3348.72","     516746","          1730435189.75","      43860","     291198","         56.35"
"ASIANPAINT","EQ","17-Sep-2021","       3342.10","       3352.00","       3382.00","       3285.05","       3311.00","       3303.05","       3324.32","    1545695","          5138380614.90","      61404","    1045810","         67.66"
"ASIANPAINT","EQ","20-Sep-2021","       3303.05","       3299.95","       3315.00","       3265.00","       3273.60","       3271.55","       3289.84","     689288","          2267649635.85","      55756","     357657","         51.89"
"ASIANPAINT","EQ","21-Sep-2021","       3271.55","       3271.55","       3335.00","       3271.00","       3308.00","       3309.20","       3309.13","     922057","          3051203771.75","      58167","     386413","         41.91"
"ASIANPAINT","EQ","22-Sep-2021","       3309.20","       3328.50","       3329.95","       3288.25","       3319.80","       3317.50","       3308.62","     825945","          2732739872.60","      58258","     518547","         62.78"
"ASIANPAINT","EQ","23-Sep-2021","       3317.50","       3340.00","       3340.00","       3315.00","       3326.00","       3320.65","       3325.31","     694716","          2310149118.80","      52934","     448220","         64.52"
"ASIANPAINT","EQ","24-Sep-2021","       3320.65","       3330.00","       3505.00","       3320.85","       3445.00","       3448.60","       3450.33","    2775975","          9578032371.15","     213860","     790446","         28.47"
"ASIANPAINT","EQ","27-Sep-2021","       3448.60","       3461.60","       3470.00","       3417.65","       3423.00","       3430.65","       3437.34","     902449","          3102026991.20","      77996","     407677","         45.17"
"ASIANPAINT","EQ","28-Sep-2021","       3430.65","       3424.90","       3429.70","       3350.00","       3385.00","       3379.70","       3376.29","     961271","          3245526196.50","      99252","     525188","         54.63"
"ASIANPAINT","EQ","29-Sep-2021","       3379.70","       3365.00","       3381.70","       3310.00","       3320.00","       3323.05","       3334.92","     973387","          3246172344.50","      87400","     606740","         62.33"
"ASIANPAINT","EQ","30-Sep-2021","       3323.05","       3329.90","       3347.70","       3220.00","       3248.00","       3244.65","       3260.63","    2077896","          6775251151.30","     173744","    1233451","         59.36"
